platform,post_id,posted_at,weekday,caption,hashtags,media_type,followers,views,likes,comments,shares,saves,engagement,engagement_rate,popularity_label
twitter,post_1,05-07-2024 14:00,3,deep post about photography 💪,#photography #ai #coding #startup,image,928,734,41,6,10,1,58,0.0625,medium
linkedin,post_2,31-01-2024 20:00,2,viral post about ai 🔥,#food #fashion #travel #ai,image,9907,13880,589,193,62,17,861,0.086908247,high
tiktok,post_3,18-08-2024 15:00,6,amazing post about startup ✈️,#startup #fashion,image,20219,13902,567,179,103,17,866,0.042831000544042735,medium
twitter,post_4,07-02-2024 11:00,6,fresh post about coding 🔥,#fitness #startup #ai #travel,video,7306,5668,319,52,92,13,476,0.06515193,high
instagram,post_5,06-12-2024 19:00,2,catchy post about music 🎯,#design #startup,video,13443,3976,240,40,23,3,306,0.022762776,low
instagram,post_6,25-04-2024 08:00,6,fresh post about coding 🔥,#coding #fitness,carousel,4952,7052,444,147,21,47,659,0.13307754442649433,high
instagram,post_7,23-01-2025 07:00,4,fresh post about startup 🚀,#startup #fashion #travel #photography,image,1811,671,20,8,4,2,34,0.018774157923799006,low
linkedin,post_8,02-08-2024 03:00,6,quick post about travel 💻,#fashion #design #coding,video,8216,2810,189,52,14,5,260,0.03164557,low
tiktok,post_9,25-07-2024 19:00,6,viral post about design ✈️,#food #travel,carousel,16100,3167,144,63,13,20,240,0.014906832298136646,low
tiktok,post_10,08-03-2024 03:00,5,catchy post about coding 🎯,#music,carousel,2255,1595,55,30,5,9,99,0.043902439,medium
instagram,post_11,15-02-2024 00:00,1,viral post about ai 🔥,#design #startup,carousel,5188,2317,110,59,8,11,188,0.036237471087124135,medium
linkedin,post_12,16-11-2024 14:00,1,insightful post about design 📸,#fashion #design,video,6428,7225,412,52,32,16,512,0.079651525,high
tiktok,post_13,31-10-2024 19:00,2,bold post about music 🚀,#fashion #design #travel,text,140381,69615,3346,877,205,154,4582,0.032639745,low
instagram,post_14,07-06-2024 00:00,0,insightful post about startup 📸,#fitness,image,10231,11204,350,107,56,42,555,0.054246897,medium
instagram,post_15,11-12-2024 21:00,4,insightful post about photography ✨,#coding #design #photography,video,1305,436,22,5,2,0,29,0.022222222222222223,low
instagram,post_16,11-02-2024 04:00,5,insightful post about fitness 🎵,#fitness #photography #food,image,1041,399,16,4,2,1,23,0.022094140249759846,low
